Data Year,U.S. nameplate capacity (MW),U.S. annual heat input from combustion (MMBtu),U.S. annual heat input from combustion (MMBtu),U.S. total annual heat input (MMBtu),U.S. total ozone season heat input (MMBtu),U.S. annual net generation (MWh),U.S. ozone season net generation (MWh),U.S. annual nonbaseload generation (MWh),U.S. annual NOx emissions (tons),U.S. ozone season NOx emissions (tons),U.S. annual SO2 emissions (tons),U.S. annual CO2 emissions (tons),U.S. annual CH4 emissions (lbs),U.S. annual N2O emissions (lbs),U.S. annual CO2 equivalent emissions (tons),U.S. annual Hg emissions (lbs),U.S. annual NOx total output emission rate (lb/MWh),U.S. ozone season NOx total output emission rate (lb/MWh),U.S. annual SO2 total output emission rate (lb/MWh),U.S. annual CO2 total output emission rate (lb/MWh),U.S. annual CH4 total output emission rate (lb/MWh),U.S. annual N2O total output emission rate (lb/MWh),U.S. annual CO2 equivalent total output emission rate (lb/MWh),U.S. annual Hg total output emission rate (lb/MWh),U.S. annual NOx input emission rate (lb/MMBtu),U.S. ozone season NOx input emission rate (lb/MMBtu),U.S. annual SO2 input emission rate (lb/MMBtu),U.S. annual CO2 input emission rate (lb/MMBtu),U.S. annual CH4 input emission rate (lb/MMBtu),U.S. annual N2O input emission rate (lb/MMBtu),U.S. annual CO2 equivalent input emission rate (lb/MMBtu),U.S. annual Hg input emission rate (lb/MMBtu),U.S. annual NOx combustion output emission rate (lb/MWh),U.S. ozone season NOx combustion output emission rate (lb/MWh),U.S. annual SO2 combustion output emission rate (lb/MWh),U.S. annual CO2 combustion output emission rate (lb/MWh),U.S. annual CH4 combustion output emission rate (lb/MWh),U.S. annual N2O combustion output emission rate (lb/MWh),U.S. annual CO2 equivalent combustion output emission rate (lb/MWh),U.S. Hg combustion output emission rate (lb/MWh),U.S. annual NOx coal output emission rate (lb/MWh),U.S. annual NOx oil output emission rate (lb/MWh),U.S. annual NOx gas output emission rate (lb/MWh),U.S. annual NOx fossil fuel output emission rate (lb/MWh),U.S. ozone season NOx coal output emission rate (lb/MWh),U.S. ozone season NOx oil output emission rate (lb/MWh),U.S. ozone season NOx gas output emission rate (lb/MWh),U.S. ozone season NOx fossil fuel output emission rate (lb/MWh),U.S. annual SO2 coal output emission rate (lb/MWh),U.S. annual SO2 oil output emission rate (lb/MWh),U.S. annual SO2 gas output emission rate (lb/MWh),U.S. annual SO2 fossil fuel output emission rate (lb/MWh),U.S. annual CO2 coal output emission rate (lb/MWh),U.S. annual CO2 oil output emission rate (lb/MWh),U.S. annual CO2 gas output emission rate (lb/MWh),U.S. annual CO2 fossil fuel output emission rate (lb/MWh),U.S. annual CH4 coal output emission rate (lb/MWh),U.S. annual CH4 oil output emission rate (lb/MWh),U.S. annual CH4 gas output emission rate (lb/MWh),U.S. annual CH4 fossil fuel output emission rate (lb/MWh),U.S. annual N2O coal output emission rate (lb/MWh),U.S. annual N2O oil output emission rate (lb/MWh),U.S. annual N2O gas output emission rate (lb/MWh),U.S. annual N2O fossil fuel output emission rate (lb/MWh),U.S. annual CO2 equivalent coal output emission rate (lb/MWh),U.S. annual CO2 equivalent oil output emission rate (lb/MWh),U.S. annual CO2 equivalent gas output emission rate (lb/MWh),U.S. annual CO2 equivalent fossil fuel output emission rate (lb/MWh),U.S. annual Hg coal output emission rate (lb/MWh),U.S. annual Hg fossil fuel output emission rate (lb/MWh),U.S. annual NOx coal input emission rate (lb/MMBtu),U.S. annual NOx oil input emission rate (lb/MMBtu),U.S. annual NOx gas input emission rate (lb/MMBtu),U.S. annual NOx fossil fuel input emission rate (lb/MMBtu),U.S. ozone season NOx coal input emission rate (lb/MMBtu),U.S. ozone season NOx oil input emission rate (lb/MMBtu),U.S. ozone season NOx gas input emission rate (lb/MMBtu),U.S. ozone season NOx fossil fuel input emission rate (lb/MMBtu),U.S. annual SO2 coal input emission rate (lb/MMBtu),U.S. annual SO2 oil input emission rate (lb/MMBtu),U.S. annual SO2 gas input emission rate (lb/MMBtu),U.S. annual SO2 fossil fuel input emission rate (lb/MMBtu),U.S. annual CO2 coal input emission rate (lb/MMBtu),U.S. annual CO2 oil input emission rate (lb/MMBtu),U.S. annual CO2 gas input emission rate (lb/MMBtu),U.S. annual CO2 fossil fuel input emission rate (lb/MMBtu),U.S. annual CH4 coal input emission rate (lb/MMBtu),U.S. annual CH4 oil input emission rate (lb/MMBtu),U.S. annual CH4 gas input emission rate (lb/MMBtu),U.S. annual CH4 fossil fuel input emission rate (lb/MMBtu),U.S. annual N2O coal input emission rate (lb/MMBtu),U.S. annual N2O oil input emission rate (lb/MMBtu),U.S. annual N2O gas input emission rate (lb/MMBtu),U.S. annual N2O fossil fuel input emission rate (lb/MMBtu),U.S. annual CO2 equivalent coal input emission rate (lb/MMBtu),U.S. annual CO2 equivalent oil input emission rate (lb/MMBtu),U.S. annual CO2 equivalent gas input emission rate (lb/MMBtu),U.S. annual CO2 equivalent fossil fuel input emission rate (lb/MMBtu),U.S. annual Hg coal input emission rate (lb/MMBtu),U.S. annual Hg fossil fuel input emission rate (lb/MMBtu),U.S. annual NOx non-baseload output emission rate (lb/MWh),U.S. ozone season NOx non-baseload output emission rate (lb/MWh),U.S. annual SO2 non-baseload output emission rate (lb/MWh),U.S. annual CO2 non-baseload output emission rate (lb/MWh),U.S. annual CH4 non-baseload output emission rate (lb/MWh),U.S. annual N2O non-baseload output emission rate (lb/MWh),U.S. annual CO2 equivalent non-baseload output emission rate (lb/MWh),U.S. annual Hg non-baseload output emission rate (lb/MWh),U.S. annual coal net generation (MWh),U.S. annual oil net generation (MWh),U.S. annual gas net generation (MWh),U.S. annual nuclear net generation (MWh),U.S. annual hydro net generation (MWh),U.S. annual biomass net generation (MWh),U.S. annual wind net generation (MWh),U.S. annual solar net generation (MWh),U.S. annual geothermal net generation (MWh),U.S. annual other fossil net generation (MWh),U.S. annual other unknown/ purchased fuel net generation (MWh),U.S. annual total nonrenewables net generation (MWh),U.S. annual total renewables net generation (MWh),U.S. annual total nonrenewable other unknown/purchased net generation (MWh),U.S. annual total nonhydro renewables net generation (MWh),U.S. annual total combustion net generation (MWh),U.S. annual total noncombustion net generation (MWh),U.S. annual total noncombustion other unknown/purchased net generation (MWh),U.S. coal generation percent (resource mix),U.S. oil generation percent (resource mix),U.S. gas generation percent (resource mix),U.S. nuclear generation percent (resource mix),U.S. hydro generation percent (resource mix),U.S. biomass generation percent (resource mix),U.S. wind generation percent (resource mix),U.S. solar generation percent (resource mix),U.S. geothermal generation percent (resource mix),U.S. other fossil generation percent (resource mix),U.S. other unknown/ purchased fuel generation percent (resource mix),U.S. total nonrenewables generation percent (resource mix),U.S. total renewables generation percent (resource mix),U.S. total nonrenewables other unknown/purchased generation percent (resource mix),U.S. total nonhydro renewables generation percent (resource mix),U.S. total combustion generation percent (resource mix),U.S. total noncombustion generation percent (resource mix),U.S. total noncombustion other unknown/purchased generation percent (resource mix),U.S. annual nonbaseload coal net generation (MWh),U.S. annual nonbaseload oil net generation (MWh),U.S. annual nonbaseload gas net generation (MWh),U.S. annual nonbaseload nuclear net generation (MWh),U.S. annual nonbaseload hydro net generation (MWh),U.S. annual nonbaseload biomass net generation (MWh),U.S. annual nonbaseload wind net generation (MWh),U.S. annual nonbaseload solar net generation (MWh),U.S. annual nonbaseload geothermal net generation (MWh),U.S. annual nonbaseload other fossil net generation (MWh),U.S. annual nonbaseload other unknown/ purchased fuel net generation (MWh),U.S. nonbaseload coal generation percent (resource mix),U.S. nonbaseload oil generation percent (resource mix),U.S. nonbaseload gas generation percent (resource mix),U.S. nonbaseload nuclear generation percent (resource mix),U.S. nonbaseload hydro generation percent (resource mix),U.S. nonbaseload biomass generation percent (resource mix),U.S. nonbaseload wind generation percent (resource mix),U.S. nonbaseload solar generation percent (resource mix),U.S. nonbaseload geothermal generation percent (resource mix),U.S. nonbaseload other fossil generation percent (resource mix),U.S. nonbaseload other unknown/ purchased fuel generation percent (resource mix)
YEAR,USNAMEPCAP,USHTIAN,USHTIOZ,USHTIANT,USHTIOZT,USNGENAN,USNGENOZ,USNGENNB,USNOXAN,USNOXOZ,USSO2AN,USCO2AN,USCH4AN,USN2OAN,USCO2EQA,USHGAN,USNOXRTA,USNOXRTO,USSO2RTA,USCO2RTA,USCH4RTA,USN2ORTA,USC2ERTA,USHGRTA,USNOXRA,USNOXRO,USSO2RA,USCO2RA,USCH4RA,USN2ORA,USC2ERA,USHGRA,USNOXCRT,USNOXCRO,USSO2CRT,USCO2CRT,USCH4CRT,USN2OCRT,USC2ECRT,USHGCRT,USCNOXRT,USONOXRT,USGNOXRT,USFSNXRT,USCNXORT,USONXORT,USGNXORT,USFSNORT,USCSO2RT,USOSO2RT,USGSO2RT,USFSS2RT,USCCO2RT,USOCO2RT,USGCO2RT,USFSC2RT,USCCH4RT,USOCH4RT,USGCH4RT,USFCH4RT,USCN2ORT,USON2ORT,USGN2ORT,USFN2ORT,USCC2ERT,USOC2ERT,USGC2ERT,USFSC2ERT,USCHGRT,USFSHGRT,USCNOXR,USONOXR,USGNOXR,USFSNXR,USCNXOR,USONXOR,USGNXOR,USFSNOR,USCSO2R,USOSO2R,USGSO2R,USFSS2R,USCCO2R,USOCO2R,USGCO2R,USFSC2R,USCCH4R,USOCH4R,USGCH4R,USFCH4R,USCN2OR,USON2OR,USGN2OR,USFN2OR,USCC2ER,USOC2ER,USGC2ER,USFSC2ER,USCHGR,USFSHGR,USNBNOX,USNBNXO,USNBSO2,USNBCO2,USNBCH4,USNBN2O,USNBC2E,USNBHG,USGENACL,USGENAOL,USGENAGS,USGENANC,USGENAHY,USGENABM,USGENAWI,USGENASO,USGENAGT,USGENAOF,USGENAOP,USGENATN,USGENATR,USGENATO,USGENATH,USGENACY,USGENACN,USGENACO,USCLPR,USOLPR,USGSPR,USNCPR,USHYPR,USBMPR,USWIPR,USSOPR,USGTPR,USOFPR,USOPPR,USTNPR,USTRPR,USTOPR,USTHPR,USCYPR,USCNPR,USCOPR,USNBGNCL,USNBGNOL,USNBGNGS,USNBGNNC,USNBGNHY,USNBGNBM,USNBGNWI,USNBGNSO,USNBGNGT,USNBGNOF,USNBGNOP,USNBCLPR,USNBOLPR,USNBGSPR,USNBNCPR,USNBHYPR,USNBBMPR,USNBWIPR,USNBSOPR,USNBGTPR,USNBOFPR,USNBOPPR
2023,1303568.80,21889609535.03,10513150073.76,32955527923.43,15189244757.40,4167601391.18,1898218225.61,1189184479.51,947516.58,429896.47,752584.65,1607700437.90,236894200.69,33081049.50,1615400195.77,--,0.46,0.45,0.36,771.52,0.06,0.01,775.22,--,0.09,0.08,0.07,146.89,0.01,0.00,147.60,--,0.75,0.74,0.59,1264.83,0.06,0.01,1270.88,--,1.34,4.68,0.43,0.72,1.20,4.46,0.43,0.68,1.82,4.66,0.03,0.57,2227.89,1552.48,914.87,1286.23,0.25,0.08,0.02,0.08,0.04,0.01,0.00,0.01,2244.48,1558.40,915.95,1291.67,--,--,0.12,0.47,0.06,0.08,0.11,0.45,0.06,0.08,0.17,0.47,0.00,0.07,206.22,156.77,118.90,149.91,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,207.76,157.37,119.05,150.54,--,--,0.93,0.87,0.69,1393.70,0.10,0.02,1400.48,--,674717738.71,23033489.11,1778110458.71,774873169.00,245200134.97,47130187.64,419969331.48,165070375.00,16367398.00,19178316.63,3950798.77,3269913172.16,893737427.09,3950798.77,648537292.12,2542170190.80,1621480408.45,3950798.77,0.162,0.006,0.427,0.186,0.059,0.011,0.101,0.040,0.004,0.005,0.001,0.785,0.214,0.001,0.156,0.610,0.389,0.001,383492804.37,17246281.69,761203720.33,0.00,0.00,19622035.40,0.00,0.00,0.00,4350911.35,3268726.38,0.322,0.015,0.640,0.000,0.000,0.017,0.000,0.000,0.000,0.004,0.003
